dataset_id,model_type,method,ate_hat
150,Parametric,Levis IWOR,0.26260996255411023
151,Non-Parametric,Levis IWOR,0.2683996998426732
151,Parametric,Levis IWOR,0.2597555573027164
152,Non-Parametric,Levis IWOR,0.2680108915677094
152,Parametric,Levis IWOR,0.25609451828870117
153,Non-Parametric,Levis IWOR,0.26425832504364943
153,Parametric,Levis IWOR,0.2505715837045255
154,Non-Parametric,Levis IWOR,0.2864289211338017
154,Parametric,Levis IWOR,0.2655150642681578
155,Non-Parametric,Levis IWOR,0.26317004632372654
155,Parametric,Levis IWOR,0.25178688859013065
156,Non-Parametric,Levis IWOR,0.2850233046650365
156,Parametric,Levis IWOR,0.25953269900436204
157,Non-Parametric,Levis IWOR,0.2702909680150394
157,Parametric,Levis IWOR,0.2650462244565367
158,Non-Parametric,Levis IWOR,0.2732146821215953
158,Parametric,Levis IWOR,0.24882531543314224
159,Non-Parametric,Levis IWOR,0.266878589691119
159,Parametric,Levis IWOR,0.2604788084835741
160,Non-Parametric,Levis IWOR,0.2669520651103795
160,Parametric,Levis IWOR,0.2504822981295959
161,Non-Parametric,Levis IWOR,0.27676203997210047
161,Parametric,Levis IWOR,0.26102712694015817
162,Non-Parametric,Levis IWOR,0.25598414595773056
162,Parametric,Levis IWOR,0.24240247943119236
163,Non-Parametric,Levis IWOR,0.275345651211934
163,Parametric,Levis IWOR,0.2504456421340918
164,Non-Parametric,Levis IWOR,0.2586335029226578
164,Parametric,Levis IWOR,0.24987570629863234
165,Non-Parametric,Levis IWOR,0.2555529432846349
165,Parametric,Levis IWOR,0.246993883604819
166,Non-Parametric,Levis IWOR,0.2710808839791966
166,Parametric,Levis IWOR,0.25521960669539373
167,Non-Parametric,Levis IWOR,0.2602112809084094
167,Parametric,Levis IWOR,0.24536149723814424
168,Non-Parametric,Levis IWOR,0.27447331932452074
168,Parametric,Levis IWOR,0.26271766345685893
169,Non-Parametric,Levis IWOR,0.27400803326750334
169,Parametric,Levis IWOR,0.25128938530962
170,Non-Parametric,Levis IWOR,0.2744424514212235
170,Parametric,Levis IWOR,0.2601573734042676
171,Non-Parametric,Levis IWOR,0.27101714694908335
171,Parametric,Levis IWOR,0.25431358010956173
172,Non-Parametric,Levis IWOR,0.26775291606483426
172,Parametric,Levis IWOR,0.254192339726216
173,Non-Parametric,Levis IWOR,0.26220170223364225
173,Parametric,Levis IWOR,0.2453196774917047
174,Non-Parametric,Levis IWOR,0.2742528764542025
174,Parametric,Levis IWOR,0.2636586528792976
175,Non-Parametric,Levis IWOR,0.2902429096055896
175,Parametric,Levis IWOR,0.270220094677088
176,Non-Parametric,Levis IWOR,0.2798246364735427
176,Parametric,Levis IWOR,0.27365502478624115
177,Non-Parametric,Levis IWOR,0.2625453622949089
177,Parametric,Levis IWOR,0.24712541784473954
178,Non-Parametric,Levis IWOR,0.2730754435303972
178,Parametric,Levis IWOR,0.25569023471949676
179,Non-Parametric,Levis IWOR,0.2654108646398569
179,Parametric,Levis IWOR,0.2576848788180024
180,Non-Parametric,Levis IWOR,0.2566534301718377
180,Parametric,Levis IWOR,0.24723660476551296
181,Non-Parametric,Levis IWOR,0.2795396344032101
181,Parametric,Levis IWOR,0.2570983141693769
182,Non-Parametric,Levis IWOR,0.265220586269742
182,Parametric,Levis IWOR,0.25305524801394547
183,Non-Parametric,Levis IWOR,0.2779787137248324
183,Parametric,Levis IWOR,0.26401487521732714
184,Non-Parametric,Levis IWOR,0.273986143746208
184,Parametric,Levis IWOR,0.2620162730978823
185,Non-Parametric,Levis IWOR,0.275850911333441
185,Parametric,Levis IWOR,0.26021092610727464
186,Non-Parametric,Levis IWOR,0.2586450337852827
186,Parametric,Levis IWOR,0.2504528204559272
187,Non-Parametric,Levis IWOR,0.2809063155365942
187,Parametric,Levis IWOR,0.261257533208784
188,Non-Parametric,Levis IWOR,0.28525460367639305
188,Parametric,Levis IWOR,0.27512023435279365
189,Non-Parametric,Levis IWOR,0.27306847012981156
189,Parametric,Levis IWOR,0.2574688479050014
190,Non-Parametric,Levis IWOR,0.26937165912845007
190,Parametric,Levis IWOR,0.2486738404871868
191,Non-Parametric,Levis IWOR,0.268070859628626
191,Parametric,Levis IWOR,0.2547324205429888
192,Non-Parametric,Levis IWOR,0.26744076326417177
192,Parametric,Levis IWOR,0.25340434875811324
193,Non-Parametric,Levis IWOR,0.2739401996625852
193,Parametric,Levis IWOR,0.2554874327586072
194,Non-Parametric,Levis IWOR,0.2746073782032322
194,Parametric,Levis IWOR,0.25682787182684613
195,Non-Parametric,Levis IWOR,0.27138175112273
195,Parametric,Levis IWOR,0.2584192963071516
196,Non-Parametric,Levis IWOR,0.27033618037148743
196,Parametric,Levis IWOR,0.25900208434905747
197,Non-Parametric,Levis IWOR,0.27580651018941504
197,Parametric,Levis IWOR,0.2643844737373301
198,Non-Parametric,Levis IWOR,0.28374809579654803
198,Parametric,Levis IWOR,0.26732227453941726
199,Non-Parametric,Levis IWOR,0.262529216055374
199,Parametric,Levis IWOR,0.242793171125331
200,Non-Parametric,Levis IWOR,0.2664039835273241
200,Parametric,Levis IWOR,0.25641305347313104
201,Non-Parametric,Levis IWOR,0.2621967889269521
201,Parametric,Levis IWOR,0.25042079621180263
202,Non-Parametric,Levis IWOR,0.2679752199126443
202,Parametric,Levis IWOR,0.25515436383884643
203,Non-Parametric,Levis IWOR,0.2813320589605712
203,Parametric,Levis IWOR,0.26120083542215566
204,Non-Parametric,Levis IWOR,0.2840357305246992
204,Parametric,Levis IWOR,0.2597794694744928
205,Non-Parametric,Levis IWOR,0.27624712052638734
205,Parametric,Levis IWOR,0.26194183292056883
206,Non-Parametric,Levis IWOR,0.2631553574981615
206,Parametric,Levis IWOR,0.25027970597986393
207,Non-Parametric,Levis IWOR,0.28464849075665777
207,Parametric,Levis IWOR,0.26255859698420425
208,Non-Parametric,Levis IWOR,0.2724627788161501
208,Parametric,Levis IWOR,0.25805228270566244
209,Non-Parametric,Levis IWOR,0.26751471476299454
209,Parametric,Levis IWOR,0.2552679358137842
210,Non-Parametric,Levis IWOR,0.2705481559645476
210,Parametric,Levis IWOR,0.26622242007012803
211,Non-Parametric,Levis IWOR,0.2798444873640299
211,Parametric,Levis IWOR,0.26409811930156213
212,Non-Parametric,Levis IWOR,0.26343186131455554
212,Parametric,Levis IWOR,0.2531685850622519
213,Non-Parametric,Levis IWOR,0.27290913034631586
213,Parametric,Levis IWOR,0.26321549104110126
214,Non-Parametric,Levis IWOR,0.2713334592568627
214,Parametric,Levis IWOR,0.2522455617707744
215,Non-Parametric,Levis IWOR,0.26069027474872386
215,Parametric,Levis IWOR,0.2560116625661557
216,Non-Parametric,Levis IWOR,0.2816505595855169
216,Parametric,Levis IWOR,0.2586193079490456
217,Non-Parametric,Levis IWOR,0.27582502263892006
217,Parametric,Levis IWOR,0.2591427571419536
218,Non-Parametric,Levis IWOR,0.27468239152738794
218,Parametric,Levis IWOR,0.2604939654981087
219,Non-Parametric,Levis IWOR,0.2763697239962006
219,Parametric,Levis IWOR,0.2605511372538334
220,Non-Parametric,Levis IWOR,0.26085362857482525
220,Parametric,Levis IWOR,0.2495859871906117
221,Non-Parametric,Levis IWOR,0.2882955130718514
221,Parametric,Levis IWOR,0.26804094277758084
222,Non-Parametric,Levis IWOR,0.26760266703084035
222,Parametric,Levis IWOR,0.2573587478889363
223,Non-Parametric,Levis IWOR,0.2626761478610448
223,Parametric,Levis IWOR,0.24923657609642058
224,Non-Parametric,Levis IWOR,0.26608175097239495
224,Parametric,Levis IWOR,0.249957985743519
225,Non-Parametric,Levis IWOR,0.2796819023812359
225,Parametric,Levis IWOR,0.2575962860266454
226,Non-Parametric,Levis IWOR,0.2849350538496265
226,Parametric,Levis IWOR,0.2634660370920213
227,Non-Parametric,Levis IWOR,0.2612527758587844
227,Parametric,Levis IWOR,0.25420474672591375
228,Non-Parametric,Levis IWOR,0.2568862807076656
